species,plot,treatment,plantnumber,leaf1i,leaf1f,leaf2i,leaf2f,leaf3i,leaf3f,leaf4i,leaf4f,leaf5i,leaf5f,height,meaninsect,meanfungal
Sornu,72,IF,3,0,0,0,2,0,0,,,,,296,0,0.666666667
Sornu,72,IF,4,0,0,3,0,0,0,55,0,,,354,14.5,0
Agafo,73,IF,1,1,0,0,0,1,0,0,1,0,0,40,0.4,0.2
Agafo,73,IF,3,1,0,0,0,25,0,0,0,1,0,54,5.4,0
Agafo,74,I,1,0,3,0,0,0,40,10,0,4,14,22,2.8,11.4
Agafo,74,I,6,0,0,0,6,2,0,3,0,0,0,33,1,1.2
Bougr,75,I,1,0,0,0,0,0,1,0,0,0,0,204,0,0.2
Bougr,75,I,3,0,0,0,0,0,0,0,1,0,0,153,0,0.2
Bougr,75,I,4,0,3,0,1,0,0,0,3,0,5,192,0,2.4
Bougr,75,I,5,0,0,0,0,0,1,0,0,0,2,341,0,0.6
Bougr,75,I,6,0,0,0,0,0,2,0,0,0,2,234,0,0.8
Bougr,76,IF,1,0,0,0,0,0,0,0,0,0,0,102,0,0
Bougr,76,IF,2,0,1,0,0,0,0,0,0,0,0,333,0,0.2
Bougr,76,IF,3,0,0,0,0,0,0,0,0,,,157,0,0
Bougr,76,IF,4,0,0,0,0,0,0,0,0,0,0,194,0,0
Bougr,76,IF,5,0,0,0,0,0,1,0,0,0,0,296,0,0.2
Bougr,76,IF,6,0,0,1,0,0,0,0,0,0,0,206,0.2,0
Rudhi,77,IF,1,0,1,0,2,0,1,3,0,0,0,40,0.6,0.8
Rudhi,77,IF,2,0,0,0,0,3,2,0,2,0,3,59,0.6,1.4
Rudhi,77,IF,3,0,0,12,0,0,8,,,,,58,4,2.666666667
Rudhi,77,IF,4,0,0,0,0,5,0,0,7,,,41,1.25,1.75
Rudhi,77,IF,6,2,0,0,0,0,0,,,,,34,0.666666667,0
Achmi,78,IF,4,55,0,,,,,,,,,23,55,0
Achmi,78,IF,5,4,0,8,0,0,0,60,0,,,51,18,0
Sornu,79,I,1,0,3,0,1,0,10,1,0,,,32,0.25,3.5
Sornu,79,I,2,0,3,0,0,0,0,0,1,0,0,298,0,0.8
Sornu,79,I,3,0,4,0,1,3,2,0,3,0,12,227,0.6,4.4
Sornu,79,I,4,0,6,0,5,0,0,,,,,362,0,3.666666667
Muhra,80,C,1,0,0,0,2,,,,,,,188,0,1
Muhra,80,C,2,3,2,0,1,8,3,0,1,3,0,161,2.8,1.4
Muhra,80,C,5,0,2,0,4,0,3,0,0,0,0,201,0,1.8
Muhra,80,C,6,0,5,0,0,0,0,,,,,197,0,1.666666667
Muhra,81,IF,1,0,0,0,3,1,5,0,1,,,260,0.25,2.25
Muhra,81,IF,2,0,0,0,1,0,3,,,,,234,0,1.333333333
Muhra,81,IF,3,0,1,1,1,0,0,0,4,,,302,0.25,1.5
Muhra,81,IF,4,0,0,0,0,0,3,0,0,0,0,261,0,0.6
Muhra,81,IF,5,0,3,0,0,0,2,0,0,1,0,287,0.2,1
Muhra,81,IF,6,0,0,3,0,0,0,0,1,0,5,209,0.6,1.2
Agafo,83,C,1,4,2,3,1,60,0,68,3,0,0,53,27,1.2
Agafo,83,C,2,38,0,0,0,4,0,93,0,3,0,10,27.6,0
Agafo,83,C,3,29,0,40,0,23,4,1,1,0,0,46,18.6,1
Agafo,83,C,5,45,0,3,0,50,20,3,0,18,0,24,23.8,4
Bougr,84,C,1,30,2,50,0,3,0,0,1,4,2,275,17.4,1
Bougr,84,C,3,0,0,0,1,16,1,,,,,109,5.333333333,0.666666667
Bougr,84,C,4,0,0,0,0,0,0,0,0,1,0,156,0.2,0
Bougr,84,C,5,0,0,0,1,0,0,,,,,147,0,0.333333333
Bougr,84,C,6,0,0,3,0,0,0,0,0,0,0,173,0.6,0
Ascsy,85,I,1,0,0,0,0,0,0,,,,,23,0,0
Ascsy,85,I,3,0,0,0,0,0,0,0,2,,,59,0,0.5
Astaz,86,IF,1,4,0,10,0,5,2,0,20,0,10,41,3.8,6.4
Astaz,86,IF,2,4,0,,,,,,,,,27,4,0
Astaz,86,IF,3,0,1,0,0,0,0,0,0,0,2,60,0,0.6
Astaz,86,IF,5,2,4,0,0,0,2,7,4,,,47,2.25,2.5
Astaz,86,IF,6,0,0,0,0,0,0,,,,,30,0,0
Andge,87,I,1,2,0,0,0,0,2,4,0,3,2,186,1.8,0.8
Andge,87,I,2,0,9,0,4,0,0,0,0,5,2,216,1,3
Andge,87,I,4,0,2,0,0,0,0,0,2,,,154,0,1
Andge,87,I,5,0,4,0,3,0,1,0,2,0,0,193,0,2
Andge,87,I,6,0,5,0,0,0,2,0,2,,,206,0,2.25
Astaz,88,I,1,10,5,20,40,,,,,,,5,15,22.5
Astaz,88,I,2,0,10,14,7,0,0,,,,,46,4.666666667,5.666666667
Astaz,88,I,4,0,0,4,0,,,,,,,46,2,0
Astaz,88,I,5,5,3,4,8,2,1,,,,,42,3.666666667,4
Astaz,88,I,6,0,0,0,0,0,0,0,0,,,28,0,0
Muhra,90,C,2,0,5,0,2,0,1,0,0,,,237,0,2
Muhra,90,C,3,0,0,0,0,3,2,0,1,0,5,324,0.6,1.6
Muhra,90,C,4,0,0,0,0,0,2,0,7,0,12,148,0,4.2
Muhra,90,C,5,0,3,0,1,0,1,0,7,,,130,0,3
Spohe,91,C,1,0,0,0,0,0,3,0,0,,,77,0,0.75
Spohe,91,C,2,0,1,0,0,1,1,,,,,71,0.333333333,0.666666667
Schsc,93,C,1,0,1,0,0,0,2,0,1,0,4,115,0,1.6
Schsc,93,C,2,0,1,0,0,0,2,0,1,,,125,0,1
Schsc,93,C,3,3,3,0,1,0,0,0,0,,,183,0.75,1
Schsc,93,C,4,3,1,2,2,0,0,0,0,,,195,1.25,0.75
Schsc,93,C,5,0,0,0,3,0,2,0,0,,,134,0,1.25
Schsc,93,C,6,5,1,0,0,0,0,0,3,0,2,122,1,1.2
Boucu,94,IF,1,0,0,0,0,0,0,0,0,1,1,158,0.2,0.2
Boucu,94,IF,3,2,0,0,0,0,0,0,0,0,1,124,0.4,0.2
Boucu,94,IF,4,2,0,0,0,0,0,0,0,,,129,0.5,0
Boucu,94,IF,5,0,0,0,0,0,0,0,0,0,0,193,0,0
Panvi,95,I,1,2,3,3,10,,,,,,,325,2.5,6.5
Panvi,95,I,2,0,4,0,0,0,2,2,8,0,1,403,0.4,3
Panvi,95,I,3,2,12,0,2,0,3,0,0,0,0,428,0.4,3.4
Panvi,95,I,4,0,2,0,0,0,3,0,6,0,0,307,0,2.2
Panvi,95,I,5,0,4,0,0,,,,,,,141,0,2
Panvi,95,I,6,3,0,0,0,0,2,,,,,111,1,0.666666667
Achmi,97,C,2,2,0,0,10,5,0,6,0,,,30,3.25,2.5
Achmi,97,C,3,39,0,0,5,86,0,94,0,,,10,54.75,1.25
Rudhi,98,IF,1,0,1,0,3,,,,,,,31,0,2
Rudhi,98,IF,2,0,4,0,0,0,0,2,0,0,0,82,0.4,0.8
Rudhi,98,IF,3,0,2,0,1,0,0,0,0,0,0,29,0,0.6
