plot,abundance,species,specieslowbar,genus,family,species.relative,genus.relative
11,2.8,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
11,3,Sporobolus cryptandrus,Sporobolus_cryptandrus,Sporobolus,Poaceae,,
12,5,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
12,2,Agrostis scabra,Agrostis_scabra,Agrostis,Poaceae,,
12,2,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
12,0.8,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
12,0.1,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
12,0.1,Erigeron strigosus,Erigeron_strigosus,Erigeron,Asteraceae,,
12,0.8,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
12,32,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
12,3,Muhlenbergia racemosa,Muhlenbergia_racemosa,Muhlenbergia,Poaceae,,
12,1.1,Oxalis sp,Oxalis_sp,Oxalis,Oxalidaceae,Oxalis griffithii,
12,1,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
12,3.3,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
13,0.2,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
13,3.2,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
13,5,Andropogon gerardii,Andropogon_gerardii,Andropogon,Poaceae,,
13,0.1,Digitaria ischaemum,Digitaria_ischaemum,Digitaria,Poaceae,,
13,0.2,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
13,0.3,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
13,25,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
13,22,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
13,2.2,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
14,7,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
14,1.2,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
14,0.6,Asclepias tuberosa,Asclepias_tuberosa,Asclepias,Apocynaceae,,
14,6.3,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
14,1.3,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
14,1.5,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
14,0.2,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
14,0.9,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
14,15,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
14,15,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
14,2.6,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
14,5,Vicia villosa,Vicia_villosa,Vicia,Fabaceae,,
15,0.9,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
15,1,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
15,0.1,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
15,2.8,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
15,0.2,Erigeron strigosus,Erigeron_strigosus,Erigeron,Asteraceae,,
15,0.9,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
15,23,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
15,0.2,Oxalis sp,Oxalis_sp,Oxalis,Oxalidaceae,Oxalis griffithii,
15,12,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
15,0.2,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
15,0.1,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
15,5,Sorghastrum nutans,Sorghastrum_nutans,Sorghastrum,Poaceae,,
16,0.2,Elymus repens,Elymus_repens,Elymus,Poaceae,,
16,3.3,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
16,1,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
16,0.8,Asclepias tuberosa,Asclepias_tuberosa,Asclepias,Apocynaceae,,
16,0.4,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
16,8.1,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
16,0.3,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
16,0.1,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
16,0.2,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
16,8,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
16,0.1,Oxalis sp,Oxalis_sp,Oxalis,Oxalidaceae,Oxalis griffithii,
16,14,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
16,26,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
16,0.2,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
17,0.5,Agrostis scabra,Agrostis_scabra,Agrostis,Poaceae,,
17,1,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
17,2,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
17,0.2,Digitaria ischaemum,Digitaria_ischaemum,Digitaria,Poaceae,,
17,0.05,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
17,4,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
17,31,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
17,0,Monarda fistulosa,Monarda_fistulosa,Monarda,Lamiaceae,,
17,0.01,Oxalis sp,Oxalis_sp,Oxalis,Oxalidaceae,Oxalis griffithii,
17,3.5,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
17,5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
17,0.6,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
17,1.5,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
18,2.6,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
18,0.2,Elymus repens,Elymus_repens,Elymus,Poaceae,,
18,0.3,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
18,2.6,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
18,0.2,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
18,0.4,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
18,2.5,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
18,30.5,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
18,1.8,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
18,0.2,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
18,0,Sporobolus heterolepis,Sporobolus_heterolepis,Sporobolus,Poaceae,,
19,0.2,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
19,0.2,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
19,1.3,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
19,0.3,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
19,1.6,Symphyotrichum oolentangiense,Symphyotrichum_oolentangiense,Symphyotrichum,Asteraceae,,Symphyotrichum
19,0.41,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
19,1,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
19,0.2,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
19,6,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
19,28,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
19,0.01,Oxalis sp,Oxalis_sp,Oxalis,Oxalidaceae,Oxalis griffithii,
19,2.5,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
19,0.5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
19,1,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
19,0.1,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
20,0.3,Agrostis scabra,Agrostis_scabra,Agrostis,Poaceae,,
20,2.5,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
20,1.5,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
20,1.5,Asclepias syriaca,Asclepias_syriaca,Asclepias,Apocynaceae,,
20,0.2,Digitaria ischaemum,Digitaria_ischaemum,Digitaria,Poaceae,,
20,0.8,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
20,2.5,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
20,20,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
20,3,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
20,1.6,Rudbeckia hirta,Rudbeckia_hirta,Rudbeckia,Asteraceae,,Echinacea
20,2.7,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
20,0.6,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
21,0.8,Agastache foeniculum,Agastache_foeniculum,Agastache,Lamiaceae,,
21,1.1,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
21,0.02,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
21,0.8,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
21,0.3,Digitaria ischaemum,Digitaria_ischaemum,Digitaria,Poaceae,,
21,0.01,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
21,0.8,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
21,22,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
21,15,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
21,3.2,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
22,0.2,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
22,5.2,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
22,4,Andropogon gerardii,Andropogon_gerardii,Andropogon,Poaceae,,
22,0.4,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
22,26,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
22,6.5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
22,3.5,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
22,6,Vicia villosa,Vicia_villosa,Vicia,Fabaceae,,
23,1,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
23,1.6,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
23,1.7,Chondrosum gracile,Chondrosum_gracile,Chondrosum,Poaceae,,
23,0.2,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
23,0.1,Erigeron strigosus,Erigeron_strigosus,Erigeron,Asteraceae,,
23,1.3,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
23,22,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
23,9.5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
23,1.2,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
23,1,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
24,0.1,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
24,1.5,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
24,0.2,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
24,1.3,Bouteloua curtipendula,Bouteloua_curtipendula,Bouteloua,Poaceae,,
24,0.3,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
24,0.2,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
24,0.05,Digitaria ischaemum,Digitaria_ischaemum,Digitaria,Poaceae,,
24,0.05,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
24,0.2,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
24,19,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
24,0.01,Mollugo verticillata,Mollugo_verticillata,Mollugo,Molluginaceae,,
24,0.1,Oxalis sp,Oxalis_sp,Oxalis,Oxalidaceae,Oxalis griffithii,
24,6,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
24,15,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
24,3,Sporobolus cryptandrus,Sporobolus_cryptandrus,Sporobolus,Poaceae,,
25,0.1,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
25,0.5,Elymus repens,Elymus_repens,Elymus,Poaceae,,
25,1,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
25,0.5,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
25,0.4,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
25,1,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
25,1.2,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
25,6.5,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
25,22,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
25,0.01,Liatris aspera,Liatris_aspera,Liatris,Asteraceae,,
25,0.3,Oxalis sp,Oxalis_sp,Oxalis,Oxalidaceae,Oxalis griffithii,
25,1.5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
25,1.4,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
25,1.2,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
26,0.1,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
26,0.6,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
26,1.2,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
26,0.6,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
26,0.4,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
26,4,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
26,29,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
26,0.01,Oxalis sp,Oxalis_sp,Oxalis,Oxalidaceae,Oxalis griffithii,
26,5,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
26,1.7,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
26,0.6,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
26,4,Sorghastrum nutans,Sorghastrum_nutans,Sorghastrum,Poaceae,,
27,8,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
27,0.9,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
27,2,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
27,1.5,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
27,0.4,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
27,0.4,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
27,0.6,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
27,14,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
27,5.5,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
27,4.5,Panicum virgatum,Panicum_virgatum,Panicum,Poaceae,,
27,2.1,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
27,1.7,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
28,1.5,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
28,0.2,Elymus repens,Elymus_repens,Elymus,Poaceae,,
28,0.6,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
